Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99981249E+000  0.99981249E+000 -0.13877788E-016  0.99981249E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36899893E+004  0.99981249E+000  0.00000000E+000  0.99981249E+000  0.99981249E+000
  0.25000000E-002  0.99988312E+000  0.88219253E+000 -0.46929828E+000  0.99925199E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36887254E+004  0.99987688E+000  0.62474051E-005  0.99988312E+000  0.99987063E+000
  0.50000000E-002  0.99995361E+000  0.55814886E+000 -0.82705666E+000  0.99777395E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36874857E+004  0.99992865E+000  0.24964716E-004  0.99995361E+000  0.99990368E+000
  0.75000000E-002  0.10000240E+001  0.10573207E+000 -0.99034428E+000  0.99597242E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36862740E+004  0.99996787E+000  0.56081786E-004  0.10000240E+001  0.99991179E+000
  0.10000000E-001  0.10000941E+001 -0.36900227E+000 -0.92347780E+000  0.99447168E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36850705E+004  0.99999464E+000  0.99508723E-004  0.10000941E+001  0.99989513E+000
  0.12500000E-001  0.10001642E+001 -0.75711844E+000 -0.64344347E+000  0.99360346E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36838493E+004  0.10000090E+001  0.15518530E-003  0.10001642E+001  0.99985383E+000
  0.15000000E-001  0.10002341E+001 -0.96976771E+000 -0.21465421E+000  0.99324007E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36826216E+004  0.10000110E+001  0.22309374E-003  0.10002341E+001  0.99978794E+000
  0.17500000E-001  0.10003039E+001 -0.95705716E+000  0.26426926E+000  0.99287293E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36814145E+004  0.10000007E+001  0.30320496E-003  0.10003039E+001  0.99969751E+000
  0.20000000E-001  0.10003735E+001 -0.72087341E+000  0.68132804E+000  0.99190038E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36802148E+004  0.99997808E+000  0.39541621E-003  0.10003735E+001  0.99958266E+000
  0.22500000E-001  0.10004429E+001 -0.31684408E+000  0.93789665E+000  0.98996985E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36790652E+004  0.99994317E+000  0.49971763E-003  0.10004429E+001  0.99944346E+000
  0.25000000E-001  0.10005121E+001  0.15863031E+000  0.97435212E+000  0.98718064E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36780068E+004  0.99989611E+000  0.61601598E-003  0.10005121E+001  0.99928009E+000
  0.27500000E-001  0.10005812E+001  0.59357377E+000  0.78486060E+000  0.98404064E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.36769370E+004  0.99983704E+000  0.74416901E-003  0.10005812E+001  0.99909287E+000
