Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99985142E+000  0.99985142E+000 -0.55511151E-016  0.99985142E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58783458E+003  0.99985142E+000  0.00000000E+000  0.99985142E+000  0.99985142E+000
  0.25000000E-002  0.99985190E+000  0.88206425E+000 -0.46956552E+000  0.99926429E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58782260E+003  0.99984565E+000  0.62471058E-005  0.99985190E+000  0.99983941E+000
  0.50000000E-002  0.99985237E+000  0.55767748E+000 -0.82722944E+000  0.99765361E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58779811E+003  0.99982740E+000  0.24970108E-004  0.99985237E+000  0.99980243E+000
  0.75000000E-002  0.99985282E+000  0.10516710E+000 -0.99014668E+000  0.99571611E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58779000E+003  0.99979671E+000  0.56106303E-004  0.99985282E+000  0.99974061E+000
  0.10000000E-001  0.99985319E+000 -0.36935797E+000 -0.92300768E+000  0.99416723E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58785031E+003  0.99975364E+000  0.99549816E-004  0.99985319E+000  0.99965409E+000
  0.12500000E-001  0.99985351E+000 -0.75725100E+000 -0.64292326E+000  0.99336770E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58797825E+003  0.99969830E+000  0.15520705E-003  0.99985351E+000  0.99954309E+000
  0.15000000E-001  0.99985398E+000 -0.96981407E+000 -0.21407501E+000  0.99316033E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58806223E+003  0.99963092E+000  0.22305699E-003  0.99985398E+000  0.99940786E+000
  0.17500000E-001  0.99985474E+000 -0.95694241E+000  0.26509319E+000  0.99298197E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58803653E+003  0.99955158E+000  0.30316359E-003  0.99985474E+000  0.99924841E+000
  0.20000000E-001  0.99985542E+000 -0.72024654E+000  0.68235897E+000  0.99215364E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58798233E+003  0.99945981E+000  0.39561338E-003  0.99985542E+000  0.99906419E+000
  0.22500000E-001  0.99985577E+000 -0.31546465E+000  0.93862547E+000  0.99022003E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58795949E+003  0.99935529E+000  0.50048357E-003  0.99985577E+000  0.99885480E+000
  0.25000000E-001  0.99985607E+000  0.16041343E+000  0.97411672E+000  0.98723647E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58789457E+003  0.99923830E+000  0.61776761E-003  0.99985607E+000  0.99862054E+000
  0.27500000E-001  0.99985624E+000  0.59489682E+000  0.78354405E+000  0.98379037E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58791354E+003  0.99910900E+000  0.74723772E-003  0.99985624E+000  0.99836176E+000
