Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99989690E+000  0.99989690E+000 -0.41633363E-016  0.99989690E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58809573E+003  0.99989690E+000  0.00000000E+000  0.99989690E+000  0.99989690E+000
  0.25000000E-002  0.99989799E+000  0.88248283E+000 -0.46921584E+000  0.99946959E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58809179E+003  0.99989174E+000  0.62485561E-005  0.99989799E+000  0.99988550E+000
  0.50000000E-002  0.99989908E+000  0.55861386E+000 -0.82723951E+000  0.99818568E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58809159E+003  0.99987410E+000  0.24984657E-004  0.99989908E+000  0.99984911E+000
  0.75000000E-002  0.99990017E+000  0.10601503E+000 -0.99088375E+000  0.99653891E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58809442E+003  0.99984400E+000  0.56172827E-004  0.99990017E+000  0.99978783E+000
  0.10000000E-001  0.99990127E+000 -0.36913657E+000 -0.92408050E+000  0.99508119E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58809487E+003  0.99980154E+000  0.99730335E-004  0.99990127E+000  0.99970181E+000
  0.12500000E-001  0.99990237E+000 -0.75751952E+000 -0.64379267E+000  0.99413521E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58808605E+003  0.99974683E+000  0.15553216E-003  0.99990237E+000  0.99959130E+000
  0.15000000E-001  0.99990343E+000 -0.97014863E+000 -0.21476373E+000  0.99363566E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58806495E+003  0.99967995E+000  0.22347867E-003  0.99990343E+000  0.99945647E+000
  0.17500000E-001  0.99990448E+000 -0.95739493E+000  0.26419100E+000  0.99317770E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58803537E+003  0.99960091E+000  0.30356735E-003  0.99990448E+000  0.99929735E+000
  0.20000000E-001  0.99990556E+000 -0.72137500E+000  0.68129800E+000  0.99224435E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58800702E+003  0.99950965E+000  0.39590412E-003  0.99990556E+000  0.99911375E+000
  0.22500000E-001  0.99990663E+000 -0.31751362E+000  0.93822420E+000  0.99049460E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58799060E+003  0.99940596E+000  0.50067122E-003  0.99990663E+000  0.99890529E+000
  0.25000000E-001  0.99990767E+000  0.15819010E+000  0.97521535E+000  0.98796209E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58799074E+003  0.99928960E+000  0.61807192E-003  0.99990767E+000  0.99867153E+000
  0.27500000E-001  0.99990873E+000  0.59381152E+000  0.78595333E+000  0.98505571E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.58800160E+003  0.99916054E+000  0.74818281E-003  0.99990873E+000  0.99841236E+000
