Time Norm Re(ACF(t)) Im(ACF(t)) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99981362E+000  0.99981362E+000 -0.13877788E-016  0.99981362E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38749937E+004  0.99981362E+000  0.00000000E+000  0.99981362E+000  0.99981362E+000
  0.75000000E-002  0.10024990E+001 -0.96611213E+000 -0.25318021E+000  0.99873563E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38657425E+004  0.10024425E+001  0.56436434E-004  0.10024990E+001  0.10023861E+001
  0.15000000E-001  0.10034346E+001  0.86546497E+000  0.49022380E+000  0.99466024E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38625388E+004  0.10032091E+001  0.22549924E-003  0.10034346E+001  0.10029836E+001
  0.22500000E-001  0.10037772E+001 -0.70496557E+000 -0.69307785E+000  0.98860173E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38613338E+004  0.10032739E+001  0.50328647E-003  0.10037772E+001  0.10027706E+001
  0.30000000E-001  0.10038918E+001  0.49632366E+000  0.84838073E+000  0.98289727E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38620388E+004  0.10030008E+001  0.89092936E-003  0.10038918E+001  0.10021099E+001
  0.37500000E-001  0.10039734E+001 -0.25523444E+000 -0.94469354E+000  0.97856553E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38615938E+004  0.10025921E+001  0.13812882E-002  0.10039734E+001  0.10012109E+001
  0.45000000E-001  0.10040384E+001 -0.18297782E-002  0.97491140E+000  0.97491312E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38607287E+004  0.10020599E+001  0.19785592E-002  0.10040384E+001  0.10000813E+001
  0.52500000E-001  0.10040903E+001  0.25696884E+000 -0.93677120E+000  0.97137699E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38613816E+004  0.10014148E+001  0.26754925E-002  0.10040903E+001  0.99873928E+000
  0.60000000E-001  0.10041808E+001 -0.49248779E+000  0.83296719E+000  0.96766656E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38632516E+004  0.10007101E+001  0.34707457E-002  0.10041808E+001  0.99723934E+000
  0.67500000E-001  0.10044202E+001  0.69224838E+000 -0.67106708E+000  0.96412595E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38660950E+004  0.10000550E+001  0.43652269E-002  0.10044202E+001  0.99568978E+000
  0.75000000E-001  0.10045618E+001 -0.84274490E+000  0.46317043E+000  0.96163705E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38669969E+004  0.99920338E+000  0.53584369E-002  0.10045618E+001  0.99384494E+000
  0.82500000E-001  0.10045937E+001  0.93321409E+000 -0.22421447E+000  0.95977115E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.38656853E+004  0.99814363E+000  0.64500249E-002  0.10045937E+001  0.99169360E+000
